"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/features/sidebar/SearchForm.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 2, 16
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/features/sidebar/SideBar.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 8, 53
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 2, 11
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/pages/Admin.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 8, 38
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/pages/Login.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 9, 46
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/pages/PasswordReset.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 4, 36
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/services/apiAuth.js", "JavaScript", 60, 0, 0, 0, 0, 21, 81
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/services/supabase.js", "JavaScript", 6, 0, 0, 0, 1, 3, 10
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/services/useAddNewForm.js", "JavaScript", 20, 0, 0, 0, 0, 5, 25
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/services/useUpdateQuestion.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/ui/Modal.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 3, 39
"/Users/matthewlyell/Documents/repos/my_projects/work/call-taker-guide/call-taker-guide-v3/src/utils/helpers.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"Total", "-", 167, 1308, 8, 295, 8, 303, 2089
